songid,week,total_weeks,cum_week,performer,song,genre,trackid,url,album,explicit,duration_ms,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
SwervinA Boogie Wit da Hoodie Featuring 6ix9ine,13,20,14,A Boogie Wit da Hoodie Featuring 6ix9ine,Swervin,"['melodic rap', 'pop rap', 'rap', 'trap']",1wJRveJZLSb1rjhnUHQiv6,https://p.scdn.co/mp3-preview/4c2dc4b8977f9b92768f9825094288d9de71fd09?cid=b8d3901151d34489a160e3cf0ab1fa94,Hoodie SZN,TRUE,189486,86,0.581,0.662,9,-5.239,1,0.303,0.0153,0,0.111,0.434,93.023,4
Talk You Out Of ItFlorida Georgia Line,13,26,6,Florida Georgia Line,Talk You Out Of It,"['contemporary country', 'country', 'country pop', 'country road', 'modern country rock']",4qQwGRtGT7l6ckQtdPEFd4,,Can't Say I Ain't Country,FALSE,202920,75,0.651,0.708,4,-4.791,1,0.0376,0.582,0,0.0796,0.558,119.964,4
TalkKhalid,13,43,7,Khalid,Talk,"['alternative r&b', 'pop']",6TqXcAFInzjp0bODyvrWEq,https://p.scdn.co/mp3-preview/2fb54a9c23ec3124319df5739aa081bf9183fa8b?cid=b8d3901151d34489a160e3cf0ab1fa94,Free Spirit,FALSE,197573,84,0.901,0.4,0,-8.575,1,0.126,0.051,0,0.0599,0.346,135.984,4
ThotianaBlueface,13,20,11,Blueface,Thotiana,"['cali rap', 'trap']",3oh6SCCeLuXhFpEyepla6G,https://p.scdn.co/mp3-preview/86190aba97b38d4906c5312cad98263f26fbd0a5?cid=b8d3901151d34489a160e3cf0ab1fa94,Famous Cryp,TRUE,129264,80,0.906,0.382,10,-12.89,0,0.269,0.18,0,0.113,0.391,104.025,4
Walk Me HomeP!nk,13,20,4,P!nk,Walk Me Home,"['dance pop', 'pop', 'post-teen pop']",7DHApOHsIFo7EyfieArYGE,https://p.scdn.co/mp3-preview/44e8764f6028b38a76a48e98d6d2f6019e60d14e?cid=b8d3901151d34489a160e3cf0ab1fa94,Walk Me Home,FALSE,177390,77,0.652,0.453,1,-6.119,1,0.0445,0.0519,0,0.179,0.432,88.038,3
Whiskey GlassesMorgan Wallen,13,27,4,Morgan Wallen,Whiskey Glasses,"['contemporary country', 'country road', 'deep talent show']",6foY66mWZN0pSRjZ408c00,https://p.scdn.co/mp3-preview/95ac7dba403384cdb429dc9a838a889a6579ecb2?cid=b8d3901151d34489a160e3cf0ab1fa94,If I Know Me,FALSE,234346,81,0.614,0.68,6,-4.58,1,0.0289,0.369,1.84E-06,0.115,0.707,149.959,4
Without MeHalsey,13,41,14,Halsey,Without Me,"['dance pop', 'electropop', 'etherpop', 'indie poptimism', 'pop', 'post-teen pop']",5p7ujcrUXASCNwRaWNHR1C,,Without Me,TRUE,201660,90,0.752,0.488,6,-7.05,1,0.0705,0.297,9.11E-06,0.0936,0.533,136.041,4
Worth ItYK Osiris,13,25,6,YK Osiris,Worth It,"['deep pop r&b', 'melodic rap', 'pop rap', 'trap']",4XiGKQqbmnMVxDzUj6j3f2,,Worth It,FALSE,189253,78,0.764,0.528,5,-4.082,0,0.0588,0.468,0,0.0811,0.422,123.936,5
Wow.Post Malone,13,44,14,Post Malone,Wow.,"['dfw rap', 'melodic rap', 'rap']",7xQAfvXzm3AkraOtGPWIZg,,Hollywood's Bleeding,TRUE,149546,90,0.829,0.539,11,-7.359,0,0.208,0.136,1.78E-06,0.103,0.388,99.96,4
You SayLauren Daigle,13,20,14,Lauren Daigle,You Say,"['ccm', 'christian music', 'worship']",6Up545NUflOiXo8cEraH49,https://p.scdn.co/mp3-preview/3af292e58be8ef42836922174a85571a24ab7937?cid=b8d3901151d34489a160e3cf0ab1fa94,Look Up Child,FALSE,274693,81,0.486,0.632,5,-6.89,1,0.0344,0.682,0,0.0869,0.0791,147.892,4
7 RingsAriana Grande,14,33,11,Ariana Grande,7 Rings,"['dance pop', 'pop', 'post-teen pop']",6ocbgoVGwYJhOv1GgI9NsF,,thank,TRUE,178626,91,0.778,0.317,1,-10.732,0,0.334,0.592,0,0.0881,0.327,140.048,4
A Lot21 Savage,14,23,15,21 Savage,A Lot,"['atl hip hop', 'pop rap', 'rap', 'trap']",2t8yVaLvJ0RenpXUIAC52d,https://p.scdn.co/mp3-preview/0ff1fadf009e81e7d80912c2372c7381a49e5863?cid=b8d3901151d34489a160e3cf0ab1fa94,i am > i was,TRUE,288624,83,0.837,0.636,1,-7.643,1,0.086,0.0395,0.00125,0.342,0.274,145.972,4
Act UpCity Girls,14,21,5,City Girls,Act Up,"['pop', 'pop rap', 'trap queen']",3A2yGHWIzmGEIolwonU69h,,Girl Code,TRUE,158332,80,0.938,0.638,8,-4.713,1,0.189,0.0167,0,0.111,0.313,97.075,4
Baby SharkPinkfong,14,20,14,Pinkfong,Baby Shark,"['cartoon', ""children's music""]",5ygDXis42ncn6kYG14lEVG,https://p.scdn.co/mp3-preview/7fba543ccc085d6399714adf93517fc467086e2d?cid=b8d3901151d34489a160e3cf0ab1fa94,Pinkfong Animal Songs,FALSE,96332,78,0.825,0.84,7,-3.651,1,0.227,0.245,0,0.341,0.52,115.062,4
Bad GuyBillie Eilish,14,38,1,Billie Eilish,Bad Guy,"['electropop', 'pop']",2Fxmhks0bxGSBdJ92vM42m,,WHEN WE ALL FALL ASLEE,FALSE,194087,96,0.701,0.425,7,-10.965,1,0.375,0.328,0.13,0.1,0.562,135.128,4
Be AlrightDean Lewis,14,21,15,Dean Lewis,Be Alright,"['australian pop', 'pop']",3EPXxR3ImUwfayaurPi3cm,,Be Alright,TRUE,196373,85,0.553,0.586,11,-6.319,1,0.0362,0.697,0,0.0813,0.443,126.684,4
Beautiful CrazyLuke Combs,14,25,15,Luke Combs,Beautiful Crazy,['contemporary country'],2rxQMGVafnNaRaXlRMWPde,https://p.scdn.co/mp3-preview/46f30246879a353edb15e19f91eb63376053cace?cid=b8d3901151d34489a160e3cf0ab1fa94,This One's for You Too (Deluxe Edition),FALSE,193200,82,0.552,0.402,11,-7.431,1,0.0262,0.676,0,0.0928,0.382,103.313,4
BetterKhalid,14,34,15,Khalid,Better,"['alternative r&b', 'pop']",6zeeWid2sgw4lap2jV61PZ,https://p.scdn.co/mp3-preview/59f5d00716f1746194f556bd3fa05b1439533598?cid=b8d3901151d34489a160e3cf0ab1fa94,Suncity,FALSE,229320,81,0.596,0.552,0,-10.278,0,0.097,0.0765,0.334,0.104,0.112,97.949,4
"Break Up With Your Girlfriend, I'm BoredAriana Grande",14,20,8,Ariana Grande,"Break Up With Your Girlfriend, I'm Bored","['dance pop', 'pop', 'post-teen pop']",4kV4N9D1iKVxx1KLvtTpjS,,thank,TRUE,190440,85,0.726,0.554,5,-5.29,0,0.0917,0.0421,0,0.106,0.335,169.999,4
Bury A FriendBillie Eilish,14,20,10,Billie Eilish,Bury A Friend,"['electropop', 'pop']",4SSnFejRGlZikf02HLewEF,,WHEN WE ALL FALL ASLEE,FALSE,193143,88,0.905,0.389,8,-14.505,1,0.332,0.74,0.162,0.106,0.196,120.046,4
Close FriendsLil Baby,14,22,12,Lil Baby,Close Friends,"['atl hip hop', 'atl trap', 'pop rap', 'rap', 'trap']",5nzhL67GpF9szXWg5y509A,,Drip Harder,TRUE,203881,80,0.676,0.578,10,-4.669,0,0.375,0.0509,0,0.0796,0.698,158.896,4
Con CalmaDaddy Yankee & Katy Perry Featuring Snow,14,25,9,Daddy Yankee & Katy Perry Featuring Snow,Con Calma,"['latin', 'latin hip hop', 'reggaeton', 'tropical']",5w9c2J52mkdntKOmRLeM2m,,Con Calma,FALSE,193226,88,0.737,0.86,8,-2.652,0,0.0593,0.11,1.94E-06,0.0574,0.656,93.989,4
Dancing With A StrangerSam Smith & Normani,14,45,12,Sam Smith & Normani,Dancing With A Stranger,"['pop', 'uk pop']",6Qs4SXO9dwPj5GKvVOv8Ki,,Dancing With A Stranger (with Normani),FALSE,171029,89,0.741,0.52,8,-7.513,1,0.0656,0.45,1.97E-06,0.222,0.347,102.998,4
Drip Too HardLil Baby & Gunna,14,21,15,Lil Baby & Gunna,Drip Too Hard,"['atl hip hop', 'atl trap', 'pop rap', 'rap', 'trap']",78QR3Wp35dqAhFEc2qAGjE,,Drip Harder,TRUE,145542,86,0.897,0.662,1,-6.903,0,0.292,0.0852,0,0.534,0.389,112.511,4
"Eastsidebenny blanco, Halsey & Khalid",14,29,15,"benny blanco, Halsey & Khalid",Eastside,"['dance pop', 'pop', 'pop rap', 'tropical house']",0d2iYfpKoM0QCKvcLCkBao,,Eastside (with Halsey & Khalid),FALSE,173799,84,0.56,0.68,6,-7.648,0,0.321,0.555,0,0.116,0.319,89.391,4
Envy MeCalboy,14,26,15,Calboy,Envy Me,"['chicago rap', 'melodic rap', 'rap', 'southern hip hop', 'trap']",7rvyVWja33WG9R97oeJAjx,https://p.scdn.co/mp3-preview/503bfbcca88f47c6d6176d1fc47c8662cd8e11ba?cid=b8d3901151d34489a160e3cf0ab1fa94,Wildboy,TRUE,120133,79,0.74,0.488,1,-7.664,0,0.27,0.234,0,0.241,0.584,149.042,4
Eyes On YouChase Rice,14,20,7,Chase Rice,Eyes On You,"['contemporary country', 'country', 'country road', 'modern country rock', 'redneck']",5AnSllIrgGsCZzZJkVnApx,https://p.scdn.co/mp3-preview/6dc0462e080ae70994ee0a475cabff8489a9c3d8?cid=b8d3901151d34489a160e3cf0ab1fa94,Lambs & Lions,FALSE,182493,75,0.606,0.652,9,-6.982,1,0.0281,0.323,0,0.201,0.476,97.155,4
GIRLMaren Morris,14,21,5,Maren Morris,GIRL,"['contemporary country', 'pop', 'texas country']",3y5B5ebFMzEEFqCPOesAXR,https://p.scdn.co/mp3-preview/6d9117232204a352333ba7f29a9f6534c8457a9e?cid=b8d3901151d34489a160e3cf0ab1fa94,GIRL,FALSE,250653,72,0.44,0.793,6,-3.95,1,0.0502,0.0677,0,0.0788,0.447,143.599,4
Girls Like YouMaroon 5 Featuring Cardi B,14,22,15,Maroon 5 Featuring Cardi B,Girls Like You,"['pop', 'pop rock']",6V1bu6o1Yo5ZXnsCJU8Ovk,,Red Pill Blues (Deluxe),TRUE,235545,75,0.851,0.541,0,-6.825,1,0.0505,0.568,0,0.13,0.448,124.959,4
God's CountryBlake Shelton,14,23,1,Blake Shelton,God's Country,"['contemporary country', 'country', 'country road', 'oklahoma country']",1dyxS3YzBbL0t8rEVwVQ1K,https://p.scdn.co/mp3-preview/4090618c91ecefd9120f21a030f562457b0186ac?cid=b8d3901151d34489a160e3cf0ab1fa94,God's Country,FALSE,205106,78,0.538,0.752,10,-5.106,1,0.0396,0.0608,5.39E-06,0.118,0.217,139.984,4
Going BadMeek Mill Featuring Drake,14,34,15,Meek Mill Featuring Drake,Going Bad,"['hip hop', 'philly rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",2IRZnDFmlqMuOrYOLnZZyc,https://p.scdn.co/mp3-preview/29e19c68dd853994221a90103db28427f1185e33?cid=b8d3901151d34489a160e3cf0ab1fa94,Championships,TRUE,180522,87,0.889,0.496,4,-6.365,0,0.0905,0.259,0,0.252,0.544,86.003,4
Good As YouKane Brown,14,20,6,Kane Brown,Good As You,"['contemporary country', 'country road']",19kUPdKTp85q9RZNwaXM15,https://p.scdn.co/mp3-preview/305d6a3ac88fc268d56bc79a9bfba96c61a9a831?cid=b8d3901151d34489a160e3cf0ab1fa94,Experiment,FALSE,192053,76,0.634,0.516,8,-6.05,1,0.0373,0.4,0,0.142,0.769,153.831,4
HappierMarshmello & Bastille,14,34,15,Marshmello & Bastille,Happier,"['brostep', 'progressive electro house']",2dpaYNEQHiRxtZbfNsse99,,Happier,FALSE,214289,90,0.687,0.792,5,-2.749,1,0.0452,0.191,0,0.167,0.671,100.015,4
Here TonightBrett Young,14,20,13,Brett Young,Here Tonight,['contemporary country'],38nVuIj9mi5a8oopOJhSJk,,Ticket To L.A.,FALSE,216533,69,0.517,0.776,11,-5.271,1,0.0362,0.0144,0,0.113,0.448,96.002,4
High HopesPanic! At The Disco,14,32,15,Panic! At The Disco,High Hopes,"['baroque pop', 'emo', 'modern rock']",1rqqCSm0Qe4I9rUvWncaom,https://p.scdn.co/mp3-preview/f6404b1b3199442271c17d9e1461c3f2a52018f8?cid=b8d3901151d34489a160e3cf0ab1fa94,Pray for the Wicked,FALSE,190946,88,0.579,0.904,5,-2.729,1,0.0618,0.193,0,0.064,0.681,82.014,4
Look Back At ItA Boogie Wit da Hoodie,14,29,15,A Boogie Wit da Hoodie,Look Back At It,"['melodic rap', 'pop rap', 'rap', 'trap']",3Ol2xnObFdKV9pmRD2t9x8,https://p.scdn.co/mp3-preview/1791d957e2bad3063228db3750f1f71670764842?cid=b8d3901151d34489a160e3cf0ab1fa94,Hoodie SZN,TRUE,179449,83,0.791,0.587,3,-5.075,0,0.0413,0.407,0,0.148,0.536,96.057,4
Look What God Gave HerThomas Rhett,14,20,5,Thomas Rhett,Look What God Gave Her,"['contemporary country', 'country', 'country road', 'modern country rock']",2KqJC0koTBUyDlsMt5ok1V,,Center Point Road,FALSE,168960,76,0.739,0.85,2,-3.966,1,0.0308,0.0272,0,0.181,0.883,113,4
Make It SweetOld Dominion,14,20,14,Old Dominion,Make It Sweet,"['contemporary country', 'country road']",23vpjrt7G0ERE2L95dyxdI,https://p.scdn.co/mp3-preview/4348b7b358ef9fdeda197d019e71da64223c466c?cid=b8d3901151d34489a160e3cf0ab1fa94,Old Dominion,FALSE,187000,69,0.424,0.837,7,-4.453,1,0.0472,0.0373,0,0.0665,0.555,180.166,4
Middle ChildJ. Cole,14,27,11,J. Cole,Middle Child,"['conscious hip hop', 'hip hop', 'nc hip hop', 'pop rap', 'rap']",2JvzF1RMd7lE3KmFlsyZD8,,MIDDLE CHILD,TRUE,213593,87,0.837,0.364,8,-11.713,1,0.276,0.149,0,0.271,0.463,123.984,4
Miss Me MoreKelsea Ballerini,14,20,9,Kelsea Ballerini,Miss Me More,"['contemporary country', 'pop']",5NfJGBAL9mgFPRQxKJmiX2,https://p.scdn.co/mp3-preview/f8359f04282b90a6370181be389d054d2825ae3e?cid=b8d3901151d34489a160e3cf0ab1fa94,Unapologetically (Deluxe Edition),FALSE,192840,70,0.643,0.72,2,-7.146,1,0.0527,0.014,0,0.0834,0.491,96.028,4
Murder On My MindYNW Melly,14,20,11,YNW Melly,Murder On My Mind,"['melodic rap', 'trap']",7eBqSVxrzQZtK2mmgRG6lC,https://p.scdn.co/mp3-preview/b681a45cf2f796326f42bed43a6e419cd88ef92c?cid=b8d3901151d34489a160e3cf0ab1fa94,I AM YOU,TRUE,268434,86,0.759,0.73,0,-7.985,0,0.0516,0.145,3.06E-06,0.11,0.74,115.007,4
Old Town RoadLil Nas X Featuring Billy Ray Cyrus,14,42,5,Lil Nas X Featuring Billy Ray Cyrus,Old Town Road,"['country rap', 'lgbtq+ hip hop', 'pop rap']",2YpeDb67231RjR0MgVLzsG,https://p.scdn.co/mp3-preview/d94ec2ebe62fd52cf038760f57c251c145346bb2?cid=b8d3901151d34489a160e3cf0ab1fa94,7 EP,FALSE,157066,91,0.878,0.619,6,-5.56,1,0.102,0.0533,0,0.113,0.639,136.041,4
Please MeCardi B & Bruno Mars,14,20,7,Cardi B & Bruno Mars,Please Me,"['pop', 'pop rap', 'rap']",0PG9fbaaHFHfre2gUVo7AN,https://p.scdn.co/mp3-preview/a25d43f3262e07622ba8876b10d7a56d069eea05?cid=b8d3901151d34489a160e3cf0ab1fa94,Please Me,TRUE,200889,79,0.747,0.57,1,-6.711,1,0.081,0.0642,0,0.0832,0.65,133.992,4
Pop OutPolo G Featuring Lil Tjay,14,27,2,Polo G Featuring Lil Tjay,Pop Out,['chicago rap'],6uFn47ACjqYkc0jADwEdj1,https://p.scdn.co/mp3-preview/505ae166c11669c630873c84719b6eb1346fd097?cid=b8d3901151d34489a160e3cf0ab1fa94,Die A Legend,TRUE,166560,86,0.772,0.639,1,-7.119,1,0.467,0.15,0,0.0698,0.261,168.112,4
Pure WaterMustard & Migos,14,25,10,Mustard & Migos,Pure Water,"['cali rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",3j84U36KvLeXNDPv4t5pI8,,Perfect Ten,TRUE,192470,85,0.682,0.559,0,-5.545,1,0.127,0.174,0,0.344,0.137,202.015,4
Put A Date On ItYo Gotti Featuring Lil Baby,14,20,10,Yo Gotti Featuring Lil Baby,Put A Date On It,"['dirty south rap', 'gangster rap', 'hip hop', 'memphis hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",6PRh0ilIMEP1xlUHqalnkD,https://p.scdn.co/mp3-preview/a972acdaefc637e1edc9221aea4d56f5714ee59c?cid=b8d3901151d34489a160e3cf0ab1fa94,Put a Date On It (feat. Lil Baby),TRUE,195257,69,0.835,0.659,4,-5.696,1,0.31,0.0123,0,0.372,0.579,129.93,4
RumorLee Brice,14,20,4,Lee Brice,Rumor,"['contemporary country', 'country', 'country road', 'modern country rock']",56eGOeSsqdg3FLxdo83TwV,https://p.scdn.co/mp3-preview/ebbbb748e7e30c64c88cf3dbc71237aad0818657?cid=b8d3901151d34489a160e3cf0ab1fa94,Lee Brice,FALSE,198440,77,0.655,0.56,9,-6.857,1,0.0486,0.749,0,0.115,0.599,140.975,4
ShallowLady Gaga & Bradley Cooper,14,33,15,Lady Gaga & Bradley Cooper,Shallow,"['dance pop', 'pop']",2VxeLyX666F8uXCJ0dZF8B,,A Star Is Born Soundtrack,FALSE,215733,89,0.572,0.385,7,-6.362,1,0.0308,0.371,0,0.231,0.323,95.799,4
Sicko ModeTravis Scott,14,32,15,Travis Scott,Sicko Mode,['rap'],2xLMifQCjDGFmkHkpNLD9h,https://p.scdn.co/mp3-preview/1c3c01c64477b356e28a652b6447f4ef96689a71?cid=b8d3901151d34489a160e3cf0ab1fa94,ASTROWORLD,TRUE,312820,88,0.834,0.73,8,-3.714,1,0.222,0.00513,0,0.124,0.446,155.008,4
SuckerJonas Brothers,14,38,5,Jonas Brothers,Sucker,"['boy band', 'dance pop', 'pop', 'pop rock', 'post-teen pop']",22vgEDb5hykfaTwLuskFGD,,Happiness Begins,FALSE,181026,87,0.842,0.734,1,-5.065,0,0.0588,0.0427,0,0.106,0.952,137.958,4
SugeDaBaby,14,35,1,DaBaby,Suge,"['nc hip hop', 'rap']",2gwkD6igEhQbDQegRCcdoB,,Baby On Baby,TRUE,163320,88,0.876,0.662,2,-6.482,0,0.426,0.0608,0,0.127,0.844,75.445,4
Sweet But PsychoAva Max,14,34,15,Ava Max,Sweet But Psycho,"['dance pop', 'pop', 'post-teen pop']",25sgk305KZfyuqVBQIahim,https://p.scdn.co/mp3-preview/9772598a67666a9b7184926c59fe15b9574c7e46?cid=b8d3901151d34489a160e3cf0ab1fa94,Sweet but Psycho,FALSE,187436,89,0.719,0.704,1,-4.724,1,0.0476,0.0691,0,0.166,0.628,133.002,4
SwervinA Boogie Wit da Hoodie Featuring 6ix9ine,14,20,15,A Boogie Wit da Hoodie Featuring 6ix9ine,Swervin,"['melodic rap', 'pop rap', 'rap', 'trap']",1wJRveJZLSb1rjhnUHQiv6,https://p.scdn.co/mp3-preview/4c2dc4b8977f9b92768f9825094288d9de71fd09?cid=b8d3901151d34489a160e3cf0ab1fa94,Hoodie SZN,TRUE,189486,86,0.581,0.662,9,-5.239,1,0.303,0.0153,0,0.111,0.434,93.023,4
Talk You Out Of ItFlorida Georgia Line,14,26,7,Florida Georgia Line,Talk You Out Of It,"['contemporary country', 'country', 'country pop', 'country road', 'modern country rock']",4qQwGRtGT7l6ckQtdPEFd4,,Can't Say I Ain't Country,FALSE,202920,75,0.651,0.708,4,-4.791,1,0.0376,0.582,0,0.0796,0.558,119.964,4
TalkKhalid,14,43,8,Khalid,Talk,"['alternative r&b', 'pop']",6TqXcAFInzjp0bODyvrWEq,https://p.scdn.co/mp3-preview/2fb54a9c23ec3124319df5739aa081bf9183fa8b?cid=b8d3901151d34489a160e3cf0ab1fa94,Free Spirit,FALSE,197573,84,0.901,0.4,0,-8.575,1,0.126,0.051,0,0.0599,0.346,135.984,4
ThotianaBlueface,14,20,12,Blueface,Thotiana,"['cali rap', 'trap']",3oh6SCCeLuXhFpEyepla6G,https://p.scdn.co/mp3-preview/86190aba97b38d4906c5312cad98263f26fbd0a5?cid=b8d3901151d34489a160e3cf0ab1fa94,Famous Cryp,TRUE,129264,80,0.906,0.382,10,-12.89,0,0.269,0.18,0,0.113,0.391,104.025,4
Walk Me HomeP!nk,14,20,5,P!nk,Walk Me Home,"['dance pop', 'pop', 'post-teen pop']",7DHApOHsIFo7EyfieArYGE,https://p.scdn.co/mp3-preview/44e8764f6028b38a76a48e98d6d2f6019e60d14e?cid=b8d3901151d34489a160e3cf0ab1fa94,Walk Me Home,FALSE,177390,77,0.652,0.453,1,-6.119,1,0.0445,0.0519,0,0.179,0.432,88.038,3
When The Party's OverBillie Eilish,14,23,12,Billie Eilish,When The Party's Over,"['electropop', 'pop']",43zdsphuZLzwA9k4DJhU0I,,WHEN WE ALL FALL ASLEE,FALSE,196077,91,0.367,0.111,4,-14.084,1,0.0972,0.978,0.0000397,0.0897,0.198,82.642,4
Whiskey GlassesMorgan Wallen,14,27,5,Morgan Wallen,Whiskey Glasses,"['contemporary country', 'country road', 'deep talent show']",6foY66mWZN0pSRjZ408c00,https://p.scdn.co/mp3-preview/95ac7dba403384cdb429dc9a838a889a6579ecb2?cid=b8d3901151d34489a160e3cf0ab1fa94,If I Know Me,FALSE,234346,81,0.614,0.68,6,-4.58,1,0.0289,0.369,1.84E-06,0.115,0.707,149.959,4
Without MeHalsey,14,41,15,Halsey,Without Me,"['dance pop', 'electropop', 'etherpop', 'indie poptimism', 'pop', 'post-teen pop']",5p7ujcrUXASCNwRaWNHR1C,,Without Me,TRUE,201660,90,0.752,0.488,6,-7.05,1,0.0705,0.297,9.11E-06,0.0936,0.533,136.041,4
Worth ItYK Osiris,14,25,7,YK Osiris,Worth It,"['deep pop r&b', 'melodic rap', 'pop rap', 'trap']",4XiGKQqbmnMVxDzUj6j3f2,,Worth It,FALSE,189253,78,0.764,0.528,5,-4.082,0,0.0588,0.468,0,0.0811,0.422,123.936,5
Wow.Post Malone,14,44,15,Post Malone,Wow.,"['dfw rap', 'melodic rap', 'rap']",7xQAfvXzm3AkraOtGPWIZg,,Hollywood's Bleeding,TRUE,149546,90,0.829,0.539,11,-7.359,0,0.208,0.136,1.78E-06,0.103,0.388,99.96,4
You SayLauren Daigle,14,20,15,Lauren Daigle,You Say,"['ccm', 'christian music', 'worship']",6Up545NUflOiXo8cEraH49,https://p.scdn.co/mp3-preview/3af292e58be8ef42836922174a85571a24ab7937?cid=b8d3901151d34489a160e3cf0ab1fa94,Look Up Child,FALSE,274693,81,0.486,0.632,5,-6.89,1,0.0344,0.682,0,0.0869,0.0791,147.892,4
7 RingsAriana Grande,15,33,12,Ariana Grande,7 Rings,"['dance pop', 'pop', 'post-teen pop']",6ocbgoVGwYJhOv1GgI9NsF,,thank,TRUE,178626,91,0.778,0.317,1,-10.732,0,0.334,0.592,0,0.0881,0.327,140.048,4
A Lot21 Savage,15,23,16,21 Savage,A Lot,"['atl hip hop', 'pop rap', 'rap', 'trap']",2t8yVaLvJ0RenpXUIAC52d,https://p.scdn.co/mp3-preview/0ff1fadf009e81e7d80912c2372c7381a49e5863?cid=b8d3901151d34489a160e3cf0ab1fa94,i am > i was,TRUE,288624,83,0.837,0.636,1,-7.643,1,0.086,0.0395,0.00125,0.342,0.274,145.972,4
Act UpCity Girls,15,21,6,City Girls,Act Up,"['pop', 'pop rap', 'trap queen']",3A2yGHWIzmGEIolwonU69h,,Girl Code,TRUE,158332,80,0.938,0.638,8,-4.713,1,0.189,0.0167,0,0.111,0.313,97.075,4
Baby SharkPinkfong,15,20,15,Pinkfong,Baby Shark,"['cartoon', ""children's music""]",5ygDXis42ncn6kYG14lEVG,https://p.scdn.co/mp3-preview/7fba543ccc085d6399714adf93517fc467086e2d?cid=b8d3901151d34489a160e3cf0ab1fa94,Pinkfong Animal Songs,FALSE,96332,78,0.825,0.84,7,-3.651,1,0.227,0.245,0,0.341,0.52,115.062,4
Bad GuyBillie Eilish,15,38,2,Billie Eilish,Bad Guy,"['electropop', 'pop']",2Fxmhks0bxGSBdJ92vM42m,,WHEN WE ALL FALL ASLEE,FALSE,194087,96,0.701,0.425,7,-10.965,1,0.375,0.328,0.13,0.1,0.562,135.128,4
Be AlrightDean Lewis,15,21,16,Dean Lewis,Be Alright,"['australian pop', 'pop']",3EPXxR3ImUwfayaurPi3cm,,Be Alright,TRUE,196373,85,0.553,0.586,11,-6.319,1,0.0362,0.697,0,0.0813,0.443,126.684,4
Beautiful CrazyLuke Combs,15,25,16,Luke Combs,Beautiful Crazy,['contemporary country'],2rxQMGVafnNaRaXlRMWPde,https://p.scdn.co/mp3-preview/46f30246879a353edb15e19f91eb63376053cace?cid=b8d3901151d34489a160e3cf0ab1fa94,This One's for You Too (Deluxe Edition),FALSE,193200,82,0.552,0.402,11,-7.431,1,0.0262,0.676,0,0.0928,0.382,103.313,4
BetterKhalid,15,34,16,Khalid,Better,"['alternative r&b', 'pop']",6zeeWid2sgw4lap2jV61PZ,https://p.scdn.co/mp3-preview/59f5d00716f1746194f556bd3fa05b1439533598?cid=b8d3901151d34489a160e3cf0ab1fa94,Suncity,FALSE,229320,82,0.596,0.552,0,-10.278,0,0.097,0.0765,0.334,0.104,0.112,97.949,4
"Break Up With Your Girlfriend, I'm BoredAriana Grande",15,20,9,Ariana Grande,"Break Up With Your Girlfriend, I'm Bored","['dance pop', 'pop', 'post-teen pop']",4kV4N9D1iKVxx1KLvtTpjS,,thank,TRUE,190440,85,0.726,0.554,5,-5.29,0,0.0917,0.0421,0,0.106,0.335,169.999,4
Bury A FriendBillie Eilish,15,20,11,Billie Eilish,Bury A Friend,"['electropop', 'pop']",4SSnFejRGlZikf02HLewEF,,WHEN WE ALL FALL ASLEE,FALSE,193143,88,0.905,0.389,8,-14.505,1,0.332,0.74,0.162,0.106,0.196,120.046,4
Close FriendsLil Baby,15,22,13,Lil Baby,Close Friends,"['atl hip hop', 'atl trap', 'pop rap', 'rap', 'trap']",5nzhL67GpF9szXWg5y509A,,Drip Harder,TRUE,203881,80,0.676,0.578,10,-4.669,0,0.375,0.0509,0,0.0796,0.698,158.896,4
Con CalmaDaddy Yankee & Katy Perry Featuring Snow,15,25,10,Daddy Yankee & Katy Perry Featuring Snow,Con Calma,"['latin', 'latin hip hop', 'reggaeton', 'tropical']",5w9c2J52mkdntKOmRLeM2m,,Con Calma,FALSE,193226,88,0.737,0.86,8,-2.652,0,0.0593,0.11,1.94E-06,0.0574,0.656,93.989,4
Dancing With A StrangerSam Smith & Normani,15,45,13,Sam Smith & Normani,Dancing With A Stranger,"['pop', 'uk pop']",6Qs4SXO9dwPj5GKvVOv8Ki,,Dancing With A Stranger (with Normani),FALSE,171029,89,0.741,0.52,8,-7.513,1,0.0656,0.45,1.97E-06,0.222,0.347,102.998,4
Drip Too HardLil Baby & Gunna,15,21,16,Lil Baby & Gunna,Drip Too Hard,"['atl hip hop', 'atl trap', 'pop rap', 'rap', 'trap']",78QR3Wp35dqAhFEc2qAGjE,,Drip Harder,TRUE,145542,86,0.897,0.662,1,-6.903,0,0.292,0.0852,0,0.534,0.389,112.511,4
"Eastsidebenny blanco, Halsey & Khalid",15,29,16,"benny blanco, Halsey & Khalid",Eastside,"['dance pop', 'pop', 'pop rap', 'tropical house']",0d2iYfpKoM0QCKvcLCkBao,,Eastside (with Halsey & Khalid),FALSE,173799,84,0.56,0.68,6,-7.648,0,0.321,0.555,0,0.116,0.319,89.391,4
